name,url,logo
Vattenfall, https://www.vattenfall.nl/, /assets/images/companies/vattenfall.png
Nationale-Nederlanden, https://www.nn.nl/, /assets/images/companies/nn.png
Movares, https://movares.nl/, /assets/images/companies/movares.png
Deloitte, https://www2.deloitte.com/nl/nl.html/, /assets/images/companies/deloitte.png
CXO Solutions,https://www.cxo-cockpit.com/,/assets/images/companies/cxo.png
Infostrada Sports,https://www.gracenote.com/,/assets/images/companies/infostrada.png
Acision, https://en.wikipedia.org/wiki/Acision/,/assets/images/companies/acision.png
CQG, https://www.cqg.com/,/assets/images/companies/cqg.png
