Name
C#
.NET
JavaScript
Scrum
Software Development
Web Applications
OOP
Web Services
Web Development
Agile
XML
LINQ
AJAX
ASP.NET
Microsoft SQL Server
WCF
HTML
jQuery
ASP.NET MVC
PHP
CSS
Web 2.0
ADO.NET
IIS
.NET Framework
SQL Server
Visual Studio
SQL
TFS
SSIS
Regular Expressions
Analysis Services
MDX
SSAS
Angular
Cascading Style Sheets (CSS)
Azure Cosmos DB
Azure Service Bus
Azure DevOps
React.js
Business Intelligence (BI)
