Company Name,Title,Description,Location,Started On,Finished On
Vattenfall,Senior DevOps Engineer,"DevOps Engineer in the B2B Greenfield Pricing Team.  •	Cloud Architecture & Integration: Designed core application components and interfaces in Azure, ensuring scalability and maintainability.  •	DevOps & CI/CD Automation: Implemented CI/CD pipelines for faster, reliable deployments and standardized release automation. Drove best practices in release automation, monitoring, and production issue resolution.  •	Infrastructure as Code: Built and managed infrastructure across environments with compliance and traceability.  •	Secure Cloud Engineering: Enforced IAM, secret management, and compliance standards in Azure.  •	Collaboration & Leadership: Partnered with QA, SRE, and platform teams; mentored engineers; led workshops on Azure and DevOps practices. Skills: Microsoft Azure · Terraform · Python · Docker · Kubernetes · Apache Kafka · Snowflake · ArgoCD · Artifactory · CI/CD · YAML","Amsterdam, Netherlands",Aug 2024,Present
Nationale-Nederlanden,Cloud Platform Engineer,"Cloud Platform Engineer in the SIDAP Platform team.  •	Data Platform Engineering: Designed and deployed a robust data platform for multiple business units.  •	Data Onboarding Automation: Streamlined the onboarding process for data sources, improving data engineer productivity.  •	Azure Security: Applied cloud security best practices to safeguard sensitive data and maintaining compliance.   •	CI/CD Pipeline Management:Designed and optimized CI/CD pipelines, enhancing development and deployment workflows.  • Python Application Development: Developed various Python applications, automating routine tasks, and minimizing manual intervention for platform engineers. Skills: Microsoft Azure · Terraform · Python · Azure Databricks · Apache Spark · Azure Data Factory · Docker · SQL/NoSQL · SonarQube · CI/CD · YAML","The Hague, Netherlands",Aug 2023,Jul 2024
Movares,Cloud Platform Engineer / Lead Developer,"Led development across Data and Energy projects.  •	Microservices & APIs: Built scalable Python microservices and REST APIs.  •	 Kubernetes & Automation: Designed and maintained robust Kubernetes infrastructure with Helm and CI/CD, enabling deployment and management of applications.  •	Full-Stack Development: Developed a Python & .NET energy applications for electromagnetic influence assessments.  •	Performance Optimization: Achieved significant performance, and efficiency improvements for applications and both SQL and NoSQL databases.  •	Knowledge Sharing: Facilitated multiple department-wide trainings and workshops, equipping team members with the latest techniques. Skills: Python · FastAPI · Django · PostgreSQL · REST · Kubernetes · Docker · Terraform · Helm · Grafana · Kibana · C# · .NET Core · Angular · TypeScript · Azure Functions · Cosmos DB · Azure Service Bus · E2E Testing · YAML","Utrecht, Netherlands",Jan 2020,Jul 2023
Deloitte,Scrum Master / Senior Software Developer,"Delivered tax-related software solutions while leading a cross-functional team.  •	Team Leadership: Managed a team of 6 developers with coding standards and reviews.  •	Azure Migration: Migrated applications to Microsoft Azure for reliability and scalability.  •	Full-Stack Development: Built front-end and back-end components for Tax-related applications with modern web stacks.  •	Process Improvements: Enhanced CI/CD pipelines and automatic testing to streamline releases and development processes. Skills: C# · .NET Core · Python · Microsoft Azure · SQL Server · Entity Framework · LINQ · TypeScript · Angular · Vue.js · JavaScript · HTML/CSS · SpecFlow · REST · CI/CD","Amsterdam, Netherlands",May 2018,Jan 2020
CXO Solutions,Scrum Master / Senior Software Developer,"Technical and process lead for a distributed development team.  •	Agile Leadership: Facilitated Scrum ceremonies and coached teams for consistent delivery.  •	Product Development: Full stack development of Reporting application, effectively presenting crucial financial information to end-users.  •	Customer Support: Provided 2nd-line support for critical systems. Skills: C# · .NET Framework · TypeScript · React.js · AngularJS · Microsoft SQL Server · SSAS · MDX · Entity Framework · HTML · SpecFlow","Utrecht, Netherlands",Oct 2012,May 2018
Infostrada Sports,Software Developer,"Worked on sports data systems used for Olympic Games coverage.  •	Incident Management System: Built analytics and reporting system.  •	Athlete Bio Application: Maintained and enhanced global athlete data platform.  •	Database Engineering: Developed SQL procedures, optimized queries, and designed schemas. Skills: C# · .NET Framework · Microsoft SQL Server · Visual Studio","Nieuwegein, Netherlands",Jan 2011,Oct 2012
Acision,Software Developer,"Contributed to telecom monitoring and messaging platforms.  •	Central Management Station: Developed features for real-time system monitoring.  •	Messaging Components: Maintained and unit-tested distributed system modules. Skills: C++ · Eclipse · XML · Oracle · Synergy · SNMP · TCP/IP","Nieuwegein, Netherlands",Jan 2009,Sep 2010
CQG,C++ Software Developer / Process Coach,"Worked on real-time trading applications and team process coaching.  •	Trading Tools: Developed advanced charting and trading features.  •	 Process Coaching: Analyzed metrics, trained new hires, and improved engineering processes. Skills: C++ · Boost · SQL Server · Design Patterns · WTL · MFC · Microsoft Project","Samara Region, Russia",May 2006,Nov 2008
